id,title,description,image,link,technologies,isAvailable
"margin-calculator","Margin Calculator","A sophisticated tool for cryptocurrency traders to calculate margin positions, stop-loss, and take-profit levels with precision.","https://cdn.vuetifyjs.com/images/cards/docks.jpg","/margin-calculator","Vue.js,TypeScript,Vuetify",1
"konti-kura-kura",Kontinentalist 2.0 - Kura-Kura,Major upgrade from first version of Kontinentalist website with improved CMS and frontend separation.,https://kontinentalist.com,https://medium.com/kontinentalist/why-we-abandoned-wordpress-to-build-our-own-cms-d6569d3540db,"Laravel, Nuxt.js, Vuex, VueJS, AWS (EC2, EB, S3, RDS), Docker, nginx, Redis, Beanstalkd, Algolia",1
"konti-legacy",Kontinentalist (Legacy),Original Kontinentalist story app built on Wordpress Rest API backend with Nuxt.js frontend.,https://kontinentalist.com,https://kontinentalist.com,"Wordpress Rest API, Nuxt.js, VueJS, AWS (EC2, EB, S3, RDS), Docker, nginx",1
"konti-bri",Kontinentalist - BRI Hardcoded Story,Scrolly-telling story app visualizing China's Belt and Road Initiative with interactive maps.,https://bri.kontinentalist.com,https://bri.kontinentalist.com,"VueJS, Vuex, D3.js, Mapbox",1
"ervill",Ervill - Logistics Management System,Internal system for logistic reporting and delivery tracking.,https://ervill.net,https://ervill.net,"Laravel, REST APIs, CMS",1
"tiaravib",Tiaravib - Project Management System,Internal timesheet management system.,https://timesheet.tiaravib.com,https://timesheet.tiaravib.com,"CodeIgniter, CMS",1
"project-management-app","Project Management App","A full-stack project management application with real-time updates and team collaboration features.","https://cdn.vuetifyjs.com/images/cards/sunshine.jpg","","Nuxt.js,Laravel,PostgreSQL",0
"ai-content-generator","AI Content Generator","A tool that uses AI to generate and optimize content for various platforms and audiences.","https://cdn.vuetifyjs.com/images/cards/house.jpg","","Vue.js,Python,AWS",0
